zip,median_income,population
90002,54221,53108
90003,51275,75024
90004,58420,58833
90005,49226,37754
90006,47599,56628
90007,36326,41004
90008,57880,33076
90010,92454,4185
90011,51819,106042
90012,58444,38430
90013,24853,14587
90014,26550,9273
90015,61959,25554
90016,63090,47309
90017,46626,28754
90018,58987,49898
90019,65972,59410
90020,55321,38400
90021,29659,2781
90023,52918,44558
90024,74852,50392
90025,103511,44429
90026,80549,64769
90027,86826,45764
90028,57258,30982
90029,56529,34649
90031,59889,37457
90032,76608,44881
90033,50616,47655
90034,97511,55061
90035,110520,26595
90036,97583,37713
90037,52238,69064
90038,57102,27979
90039,108338,28244
90041,111938,28321
90042,89168,59151
90043,63990,44461
90044,48386,98990
90045,125692,41123
90046,87339,48170
90047,67018,52200
90048,102244,20411
90049,161605,35819
90057,46513,47142
90061,56837,28646
90062,61422,33528
90064,123929,25956
90065,88329,44897
90066,100344,54142
90067,125995,2653
90068,97151,21064
90077,203194,7868
90094,156536,11891
90272,225256,21298
90291,111610,25656
90293,124688,13039
90710,75114,27517
90731,69019,63431
90732,115120,22078
90744,58869,54277
91040,103823,20911
91042,81324,27119
91303,77437,30611
91304,79673,54369
91306,82380,49460
91307,130877,25368
91311,112172,40196
91316,85354,28497
91324,100086,29744
91325,83853,35537
91326,142170,36503
91331,76942,99804
91335,74632,77158
91342,89264,92580
91343,77790,63193
91344,111897,53862
91352,68132,45601
91356,105513,30599
91364,128306,28765
91367,106355,44862
91401,72476,39179
91402,55130,67937
91403,107970,25887
91405,58365,55451
91406,71819,53276
91411,73669,23689
91423,104205,31787
91436,155346,16190
91601,73735,35615
91602,93210,19980
91604,132494,32073
91605,61031,51654
91606,64976,43552
91607,82995,30734
92014,203520,12532
92037,136601,37665
92101,86403,46025
92102,68900,40051
92103,94210,34296
92104,86291,46613
92105,58924,72688
92106,119782,20483
92107,101042,29435
92108,97705,24201
92109,106399,44009
92110,95408,30773
92111,94540,47710
92113,56427,50983
92114,84966,66487
92115,68420,61456
92116,93661,31836
92117,101445,54499
92119,105849,24419
92120,111909,30241
92121,125000,4150
92122,98330,45988
92123,111282,32951
92124,105885,31121
92126,116013,78111
92127,166804,51107
92128,125609,49273
92129,146754,52495
92130,186000,57363
92131,169448,35227
92139,87463,34930
92154,83287,83758
92173,58209,28609
94102,62388,34077
94103,111028,32400
94105,250001,13722
94107,176788,30340
94108,68768,12070
94109,108691,56333
94110,152115,69679
94112,120731,80880
94114,184671,33858
94115,149927,33299
94116,145931,43903
94117,190444,39496
94118,157143,40108
94121,132519,43304
94122,141760,59453
94123,211854,24721
94127,200082,21184
94131,196571,28705
94132,104537,27641
94133,77652,25460
94134,104247,40738
94158,180208,10205
