latitude,longitude,room_type,accommodates,price,availability_365,review_score,is_entire_home,city
34.09625,-118.34605,Private room,1,81.0,361,4.87,0,Los Angeles
34.0044,-118.48095,Private room,1,110.0,274,4.41,0,Los Angeles
34.09626,-118.34372,Private room,1,88.0,291,4.86,0,Los Angeles
33.87687,-118.11444,Private room,2,1000.0,182,4.89,0,Los Angeles
34.06016,-118.37911,Private room,2,81.0,311,4.83,0,Los Angeles
33.99782,-118.47698,Private room,1,90.0,365,4.72,0,Los Angeles
34.13258,-118.41202,Entire home/apt,10,1520.0,363,4.96,1,Los Angeles
34.06247,-118.29005,Entire home/apt,2,558.0,177,4.77,1,Los Angeles
34.07332,-118.26331,Entire home/apt,2,150.0,365,4.84,1,Los Angeles
33.8271,-118.27944,Entire home/apt,2,82.0,69,4.93,1,Los Angeles
34.08416,-118.26684,Entire home/apt,4,73.0,335,4.69,1,Los Angeles
34.04884,-118.37155,Private room,2,80.0,365,4.58,0,Los Angeles
34.09706,-118.61913,Entire home/apt,2,118.0,336,4.84,1,Los Angeles
33.91942,-118.20913,Private room,2,94.0,160,4.38,0,Los Angeles
34.1142317,-118.3229089,Entire home/apt,4,825.0,358,4.89,1,Los Angeles
34.10707,-118.19155,Entire home/apt,2,99.0,365,4.4,1,Los Angeles
34.16589,-118.12312,Entire home/apt,6,400.0,37,5.0,1,Los Angeles
34.50752,-118.3183,Private room,2,68.0,84,4.83,0,Los Angeles
33.83951,-118.38002,Private room,1,79.0,160,4.91,0,Los Angeles
33.99618,-118.45439,Entire home/apt,3,125.0,159,4.81,1,Los Angeles
33.97975,-118.46494,Entire home/apt,2,190.0,177,4.63,1,Los Angeles
33.99573,-118.47216,Entire home/apt,1,86.0,88,4.82,1,Los Angeles
33.83931,-118.38638,Entire home/apt,4,173.0,29,4.84,1,Los Angeles
34.04276657104492,-118.35211944580078,Entire home/apt,2,119.0,276,4.8,1,Los Angeles
34.20977,-118.16546,Entire home/apt,6,224.0,305,4.53,1,Los Angeles
34.06547,-118.40422,Entire home/apt,2,195.0,355,4.7,1,Los Angeles
34.13299,-118.70287,Private room,4,86.0,302,4.85,0,Los Angeles
34.08023,-118.25646,Entire home/apt,2,120.0,189,4.7,1,Los Angeles
34.10236,-118.37752,Entire home/apt,10,1028.0,365,4.81,1,Los Angeles
34.09729,-118.61616,Entire home/apt,2,87.0,345,4.6,1,Los Angeles
34.04827,-118.23603,Private room,2,41.0,349,4.53,0,Los Angeles
34.03493,-118.4629,Entire home/apt,2,185.0,316,4.76,1,Los Angeles
34.1217,-118.26329,Entire home/apt,2,115.0,335,4.8,1,Los Angeles
34.15787,-118.32,Private room,2,104.0,81,4.77,0,Los Angeles
34.11224,-118.25668,Entire home/apt,5,258.0,208,4.91,1,Los Angeles
34.16658,-118.62265,Private room,1,58.0,362,4.89,0,Los Angeles
34.19141,-118.48034,Private room,2,96.0,258,4.91,0,Los Angeles
34.17286,-118.12009,Entire home/apt,2,159.0,242,4.0,1,Los Angeles
34.16614532470703,-118.4123764038086,Entire home/apt,6,554.0,362,5.0,1,Los Angeles
34.21888,-118.34594,Private room,1,84.0,270,4.95,0,Los Angeles
34.18347057360096,-118.39908792544004,Entire home/apt,3,51.0,242,4.96,1,Los Angeles
33.90502166748047,-118.42046356201172,Entire home/apt,2,111.0,170,5.0,1,Los Angeles
33.98362,-118.4687,Entire home/apt,4,175.0,89,4.73,1,Los Angeles
34.09793,-118.61621,Entire home/apt,2,122.0,336,4.71,1,Los Angeles
33.77191,-118.39385,Private room,2,84.0,365,4.75,0,Los Angeles
34.09813,-118.61599,Entire home/apt,4,120.0,310,4.77,1,Los Angeles
34.04827,-118.23603,Private room,2,42.0,364,4.41,0,Los Angeles
34.06923,-118.34549,Entire home/apt,4,166.0,365,4.64,1,Los Angeles
