city,zip,airbnb_count,avg_airbnb_price,entire_home_ratio,avg_review_score,avg_accommodates,avg_rent_2024,avg_rent_2025,rent_growth,median_income,population
Los Angeles,90001,39,112.8205128,0.6153846154,4.626666667,3.871794872,,2406.319872,,,
Los Angeles,90002,8,103.25,0.875,4.66375,3.75,,2424.882634,,54221,53108
Los Angeles,90003,38,120.3421053,0.5,4.506296296,4.842105263,2595.329517,2601.842984,0.00250968797,51275,75024
Los Angeles,90004,234,226.2564103,0.7735042735,4.76557047,4.085470085,2239.7817,2291.095577,0.02291021378,58420,58833
Los Angeles,90005,212,120.9622642,0.5566037736,4.675252525,2.721698113,2436.337078,2442.67146,0.002599961278,49226,37754
Los Angeles,90006,210,124.8333333,0.4761904762,4.528409091,3.647619048,1902.216772,1913.47291,0.00591737949,47599,56628
Los Angeles,90007,148,72.95945946,0.25,4.717910448,2.675675676,2377.156482,2430.236665,0.02232927594,36326,41004
Los Angeles,90008,174,205.9425287,0.5229885057,4.561384615,3.83908046,2208.18255,2241.470481,0.01507480952,57880,33076
Los Angeles,90010,58,113.2413793,0.4655172414,4.281818182,2.396551724,3017.343197,3065.641897,0.01600702875,92454,4185
Los Angeles,90011,84,57.20238095,0.1071428571,4.597058824,2.047619048,2672.508417,2785.74405,0.0423705431,51819,106042
Los Angeles,90012,191,164.8429319,0.7015706806,4.700267857,3.277486911,2454.296971,2467.42485,0.005348936537,58444,38430
Los Angeles,90013,155,155.3354839,0.8709677419,4.756727273,3,2790.810949,2774.994976,-0.005667160428,24853,14587
Los Angeles,90014,238,222.4957983,0.8277310924,4.7459375,3.722689076,2548.755926,2542.275012,-0.002542775582,26550,9273
Los Angeles,90015,258,241.4108527,0.8255813953,4.820869565,3.670542636,2649.350378,2664.609498,0.005759570329,61959,25554
Los Angeles,90016,344,142.3895349,0.6337209302,4.706752137,3.76744186,3337.651811,3435.313936,0.02926072897,63090,47309
Los Angeles,90017,294,163.7653061,0.9149659864,4.71447619,3.244897959,2701.467639,2708.527455,0.002613326263,46626,28754
Los Angeles,90018,648,73.2808642,0.1959876543,4.491687764,2.479938272,2415.914158,2483.662853,0.02804267465,58987,49898
Los Angeles,90019,454,157.376652,0.6784140969,4.755138889,3.726872247,2666.158673,2727.242747,0.02291089201,65972,59410
Los Angeles,90020,106,119.0283019,0.5377358491,4.365441176,2.632075472,1983.521189,1945.395925,-0.01922100193,55321,38400
Los Angeles,90021,8,142.5,1,4.916,2.875,2744.162447,2753.642818,0.003454741363,29659,2781
Los Angeles,90022,71,124.5633803,0.7605633803,4.709508197,4.14084507,,2035.546682,,,
Los Angeles,90023,45,106.5555556,0.5333333333,4.734102564,3.177777778,2257.104312,2230.589449,-0.01174729172,52918,44558
Los Angeles,90024,393,192.6005089,0.5114503817,4.803484848,2.776081425,3869.086638,3994.906446,0.03251925334,74852,50392
Los Angeles,90025,357,178.7310924,0.6666666667,4.775168067,3.148459384,3070.443254,3141.330881,0.02308709892,103511,44429
Los Angeles,90026,526,193.6825095,0.8783269962,4.848073171,3.634980989,2575.248152,2640.921447,0.0255017348,80549,64769
Los Angeles,90027,296,233.9222973,0.7668918919,4.839642857,3.375,2619.688284,2668.377208,0.01858576998,86826,45764
Los Angeles,90028,777,178.6808237,0.7606177606,4.653202614,3.625482625,2542.741752,2609.117571,0.02610403477,57258,30982
Los Angeles,90029,182,162.6868132,0.7527472527,4.649534884,3.521978022,2217.342865,2221.055491,0.001674358202,56529,34649
Los Angeles,90031,69,141.8550725,0.7391304348,4.825490196,3.536231884,2368.733002,2485.202543,0.04916955199,59889,37457
Los Angeles,90032,97,147.6701031,0.7731958763,4.90025,3.608247423,2290.250378,2378.486868,0.03852700605,76608,44881
Los Angeles,90033,56,120.3571429,0.7678571429,4.688409091,3.535714286,2305.41763,2357.590019,0.02263034159,50616,47655
Los Angeles,90034,322,159.7857143,0.798136646,4.728675214,3.177018634,2615.658533,2669.265742,0.02049472745,97511,55061
Los Angeles,90035,361,197.1551247,0.7811634349,4.651284404,4.008310249,3353.968357,3451.34639,0.02903367665,110520,26595
Los Angeles,90036,330,281.8606061,0.8636363636,4.703838863,4.375757576,2810.380507,2856.918468,0.01655930959,97583,37713
Los Angeles,90037,123,133.7642276,0.4471544715,4.720217391,3.487804878,2414.038052,2451.72668,0.01561227582,52238,69064
Los Angeles,90038,347,198.740634,0.7838616715,4.771476793,3.821325648,2717.78853,2752.039487,0.01260251004,57102,27979
Los Angeles,90039,240,225.9041667,0.9125,4.875427136,3.5125,2998.703946,3115.872918,0.03907320411,108338,28244
Los Angeles,90041,96,200.71875,0.9166666667,4.918888889,3.604166667,2855.224311,3026.486,0.0599818683,111938,28321
Los Angeles,90042,199,184.4472362,0.8492462312,4.877468354,3.301507538,2731.904022,2858.758323,0.04643439138,89168,59151
Los Angeles,90043,283,179.770318,0.7915194346,4.75042735,4.392226148,2272.825492,2308.485915,0.01568990789,63990,44461
Los Angeles,90044,112,129.5267857,0.6071428571,4.629487179,4.401785714,2398.285535,2369.695319,-0.01192110577,48386,98990
Los Angeles,90045,200,203.86,0.83,4.875275591,3.77,2768.727429,2832.445453,0.02301346924,125692,41123
Los Angeles,90046,1353,389.6777531,0.8928307465,4.801776447,4.41315595,2741.317724,2803.358691,0.02263180453,87339,48170
Los Angeles,90047,152,168.8552632,0.8421052632,4.732063492,4.25,2430.646966,2438.238395,0.003123213242,67018,52200
Los Angeles,90048,514,439.8949416,0.8326848249,4.772025316,4.898832685,3436.483572,3525.561891,0.02592135729,102244,20411
Los Angeles,90049,181,669.8066298,0.7790055249,4.790588235,4.38121547,3809.110446,4067.476176,0.06782836419,161605,35819
Los Angeles,90056,72,267.4027778,0.7916666667,4.782666667,4.972222222,,,,,
Los Angeles,90057,50,129.86,0.58,4.53,3.8,2074.802018,2059.892226,-0.007186127673,46513,47142
Los Angeles,90059,40,86.575,0.4,4.752972973,2.8,,3084.183832,,,
Los Angeles,90061,18,231.8333333,0.7222222222,4.771764706,7.444444444,,2123.706568,,56837,28646
Los Angeles,90062,69,220.884058,0.7826086957,4.723,4.31884058,2418.204936,2498.172143,0.03306882953,61422,33528
Los Angeles,90063,250,180.444,0.836,4.780528634,4.62,2296.72222,2457.045987,0.06980546707,,
Los Angeles,90064,181,195.1712707,0.6574585635,4.78,3.331491713,3455.519699,3552.965145,0.02819993933,123929,25956
Los Angeles,90065,169,183.2840237,0.8165680473,4.886666667,3.50295858,2761.032312,2855.59902,0.03425048925,88329,44897
Los Angeles,90066,495,221.2262626,0.8646464646,4.815744125,3.486868687,3067.611874,3151.985456,0.02750464724,100344,54142
Los Angeles,90067,8,457.375,1,4.875,4.625,,,,125995,2653
Los Angeles,90068,596,409.9932886,0.8691275168,4.811757991,4.565436242,3095.099804,3209.924991,0.03709902549,97151,21064
Los Angeles,90069,601,2799.156406,0.9018302829,4.801818182,5.336106489,3498.140333,3612.8118,0.03278069398,,
Los Angeles,90077,92,2093.728261,0.8695652174,4.910784314,7.641304348,,11795.13518,,203194,7868
Los Angeles,90094,47,245.6382979,0.9787234043,4.881363636,3.191489362,4350.799124,4511.90762,0.03702963319,156536,11891
Los Angeles,90201,31,121.1290323,0.6451612903,4.836923077,3.580645161,,2516.160107,,,
Los Angeles,90210,486,1851.12963,0.9094650206,4.712344322,7.411522634,10712.0458,12447.89513,0.1620464814,,
Los Angeles,90211,390,250.1897436,0.858974359,4.547034221,4.325641026,3726.816534,4007.395128,0.07528639852,,
Los Angeles,90212,162,255.8641975,0.7962962963,4.709831933,3.524691358,3981.831975,4171.819383,0.04771356727,,
Los Angeles,90221,22,158.0909091,0.6363636364,4.764705882,2.727272727,,2267.774884,,,
Los Angeles,90230,175,199.1314286,0.7257142857,4.801266667,3.497142857,2939.475145,3044.358729,0.03568105819,,
Los Angeles,90232,311,210.073955,0.8424437299,4.791918819,4.295819936,3523.914484,3669.604641,0.04134327258,,
Los Angeles,90240,26,158.5384615,0.6923076923,4.864285714,4.115384615,3028.568041,3127.316536,0.03260567164,,
Los Angeles,90241,51,164,0.7254901961,4.861190476,3.921568627,2204.980172,2285.395277,0.03646976348,,
Los Angeles,90242,52,132.3076923,0.5192307692,4.835681818,3.769230769,2079.005841,2116.311221,0.01794385525,,
Los Angeles,90245,94,1218.393617,0.4680851064,4.776627907,3.531914894,2797.992347,2943.92694,0.05215689512,,
Los Angeles,90247,56,127.375,0.8035714286,4.595777778,4.053571429,2326.059175,2386.601235,0.0260277382,,
Los Angeles,90249,77,120.7142857,0.5454545455,4.821864407,3.558441558,,2045.993095,,,
Los Angeles,90250,272,151.7536765,0.7426470588,4.79597561,3.930147059,1967.125206,2026.979648,0.03042736741,,
Los Angeles,90254,256,401.2734375,0.80078125,4.84531401,4.109375,3422.589576,3679.200893,0.07497577834,,
Los Angeles,90255,16,130.6875,0.9375,4.240909091,4.4375,,1962.413427,,,
Los Angeles,90260,104,146.5961538,0.6730769231,4.79742268,4.346153846,2670.09987,2819.380825,0.05590837893,,
Los Angeles,90262,36,134.3333333,0.6666666667,4.732571429,5.5,1873.575737,1955.462619,0.04370620341,,
Los Angeles,90265,473,1321.547569,0.9619450317,4.8695,6.344608879,12521.61635,12957.85528,0.03483886726,,
Los Angeles,90266,366,502.1857923,0.9234972678,4.874172414,4.87704918,5269.217324,5768.348081,0.09472578676,,
Los Angeles,90270,11,111.1818182,0.8181818182,4.419,2.909090909,,,,,
Los Angeles,90272,65,651.4923077,0.9076923077,4.784878049,5.307692308,6247.131884,6919.055588,0.1075571505,225256,21298
Los Angeles,90274,39,470.5641026,0.7948717949,4.79125,5.205128205,5505.632995,6063.108143,0.101255414,,
Los Angeles,90275,108,717.212963,0.6759259259,4.785,4.842592593,4106.656271,4269.749615,0.03971438886,,
Los Angeles,90277,263,1195.311787,0.7680608365,4.769282511,3.779467681,3344.896613,3456.249767,0.03329046202,,
Los Angeles,90278,113,231.460177,0.6637168142,4.866263736,3.938053097,3294.278786,3422.384615,0.03888736718,,
Los Angeles,90280,33,133.6060606,0.9393939394,4.813793103,4.909090909,1785.7857,1853.171061,0.03773429294,,
Los Angeles,90290,300,334.0033333,0.9466666667,4.892927757,3.916666667,,,,,
Los Angeles,90291,952,307.8004202,0.9170168067,4.841715749,3.848739496,3403.358201,3588.518554,0.05440519101,111610,25656
Los Angeles,90292,618,330.0469256,0.9190938511,4.735552995,4.432038835,3566.667743,3693.506436,0.0355622397,,
Los Angeles,90293,98,271.0816327,0.887755102,4.77546875,4.153061224,3449.846209,3578.221463,0.03721187738,124688,13039
Los Angeles,90301,117,169.5897436,0.7692307692,4.857865169,4.128205128,2588.022289,2658.454447,0.02721466436,,
Los Angeles,90302,109,157.1192661,0.7614678899,4.794375,3.504587156,2245.806971,2331.632192,0.03821576013,,
Los Angeles,90303,71,184.1830986,0.7183098592,4.792545455,4.408450704,2084.402195,2156.22367,0.0344566296,,
Los Angeles,90304,120,145.8166667,0.7,4.779363636,4.016666667,2886.053177,3057.454763,0.05938961454,,
Los Angeles,90305,61,221.8360656,0.737704918,4.884888889,4.409836066,2417.845207,2549.290287,0.05436455574,,
Los Angeles,90401,322,274.7608696,0.8881987578,4.794252874,3.338509317,3662.11746,3773.963389,0.03054132764,,
Los Angeles,90402,82,494.3658537,0.7804878049,4.876779661,3.987804878,7019.022272,8115.02394,0.1561473415,,
Los Angeles,90403,171,257.4736842,0.7953216374,4.805725191,2.935672515,3647.284754,3793.321519,0.04003985844,,
Los Angeles,90404,198,187.4949495,0.7929292929,4.791878788,3.439393939,3314.696429,3427.355568,0.03398776973,,
Los Angeles,90405,268,277.9477612,0.8059701493,4.818440367,3.253731343,3172.494425,3259.35741,0.02738002767,,
Los Angeles,90501,93,131.8064516,0.688172043,4.802345679,3.838709677,2305.930447,2378.066814,0.03128297601,,
Los Angeles,90502,32,157.34375,0.75,4.8568,4.5625,,,,,
Los Angeles,90503,64,121.359375,0.5,4.840909091,2.8125,2754.443264,2831.081441,0.02782347254,,
Los Angeles,90504,46,180.6304348,0.7826086957,4.8705,5,2546.846368,2629.361791,0.03239905795,,
Los Angeles,90505,60,156.5333333,0.5166666667,4.830925926,3.316666667,3104.597101,3201.882735,0.03133599313,,
Los Angeles,90601,61,175.9344262,0.5901639344,4.832244898,4.573770492,2164.967656,2224.644674,0.02756485448,,
Los Angeles,90602,37,183.1891892,0.8648648649,4.883529412,4.918918919,2107.949901,2206.469791,0.04673730127,,
Los Angeles,90603,13,223.9230769,0.6153846154,4.805555556,5,,,,,
Los Angeles,90605,21,187.4761905,0.7142857143,4.895789474,3.80952381,2484.091048,2532.263681,0.01939245861,,
Los Angeles,90606,31,120.1612903,0.6774193548,4.826296296,3.290322581,,,,,
Los Angeles,90631,9,351.7777778,0.4444444444,4.995714286,3,2646.821821,2735.275522,0.03341883485,,
Los Angeles,90638,32,184.3125,0.5625,4.895769231,4.65625,2880.664459,2990.027177,0.037964407,,
Los Angeles,90640,38,168.3947368,0.8157894737,4.788529412,5.368421053,2214.282636,2322.026552,0.04865861042,,
Los Angeles,90650,85,121.8588235,0.6588235294,4.708641975,4.047058824,2614.755611,2693.017807,0.02993097938,,
Los Angeles,90660,45,143.9111111,0.8444444444,4.859047619,4.755555556,1951.021058,1982.210079,0.01598599894,,
Los Angeles,90703,21,128.952381,0.3333333333,4.848235294,3.047619048,3267.86262,3408.397882,0.04300525385,,
Los Angeles,90706,70,182.5,0.7142857143,4.62962963,4.942857143,2178.713599,2231.353407,0.02416095797,,
Los Angeles,90710,53,87.20754717,0.3396226415,4.764347826,2.867924528,2425.810593,2524.313289,0.04060609527,75114,27517
Los Angeles,90712,25,187.64,0.72,4.876956522,3.16,,3270.252894,,,
Los Angeles,90713,16,154.5625,0.75,4.84375,3.9375,,,,,
Los Angeles,90715,14,111.9285714,0.7142857143,4.594166667,3.285714286,,,,,
Los Angeles,90717,29,182.8275862,0.7586206897,4.833461538,3.793103448,2993.073081,3111.72987,0.03964379941,,
Los Angeles,90723,19,126.4210526,0.4736842105,4.865,3.684210526,2390.326225,2513.662277,0.05159799942,,
Los Angeles,90731,109,177.7522936,0.880733945,4.791923077,4.036697248,2508.989811,2581.956698,0.0290821777,69019,63431
Los Angeles,90732,27,207.3703704,0.6666666667,4.891818182,4.296296296,3487.572676,3659.804916,0.04938455941,115120,22078
Los Angeles,90744,14,101.5714286,0.5714285714,4.885,2.857142857,,2180.943347,,58869,54277
Los Angeles,90745,64,123.109375,0.71875,4.695714286,3.25,3025.727776,3133.551345,0.03563558164,,
Los Angeles,90802,433,1380.113164,0.7598152425,4.76751462,3.702078522,2410.882593,2437.05512,0.01085599377,,
Los Angeles,90803,352,284.5482955,0.9289772727,4.873520249,4.769886364,2468.794375,2523.968866,0.02234875912,,
Los Angeles,90804,130,152.7769231,0.9,4.843035714,4.315384615,2120.187646,2169.027571,0.02303566142,,
Los Angeles,90805,63,155.2222222,0.7619047619,4.836153846,4.428571429,1911.19102,1975.745841,0.0337772731,,
Los Angeles,90806,89,136.1348315,0.7640449438,4.857142857,3.865168539,1918.962323,1977.121001,0.03030735796,,
Los Angeles,90807,77,184.9220779,0.7662337662,4.894153846,4.155844156,2080.496616,2131.452394,0.0244921226,,
Los Angeles,90808,79,174.3670886,0.6582278481,4.874861111,4.46835443,2688.349405,2826.422182,0.05135968431,,
Los Angeles,90810,30,110.7666667,0.7,4.810416667,3.166666667,,2156.585396,,,
Los Angeles,90813,88,135.9090909,0.8181818182,4.795324675,4,1823.895097,1855.952679,0.01757643958,,
Los Angeles,90814,97,196.6804124,0.9381443299,4.875609756,4.134020619,2291.290342,2347.661077,0.02460217885,,
Los Angeles,90815,55,191.0727273,0.8,4.92,4.6,2649.818269,2763.080614,0.04274343898,,
Los Angeles,91001,71,272.7183099,0.7323943662,4.860847458,4.084507042,3973.153089,4334.001165,0.09082158877,,
Los Angeles,91006,111,182.4324324,0.7027027027,4.755930233,4.153153153,3434.470393,3757.71421,0.09411751448,,
Los Angeles,91007,106,983.6320755,0.6226415094,4.678108108,4.650943396,2978.842165,3159.010494,0.06048267047,,
Los Angeles,91010,50,118.4,0.54,4.872093023,3.46,2772.899971,2914.073812,0.05091198462,,
Los Angeles,91011,34,332.1470588,0.7352941176,4.923793103,3.588235294,,,,,
Los Angeles,91016,202,169.4306931,0.8316831683,4.806763006,4.267326733,2732.797178,2875.719737,0.05229899969,,
Los Angeles,91020,16,165.25,1,4.93,3.875,,2409.073748,,,
Los Angeles,91024,28,416.2142857,0.9642857143,4.951578947,5.857142857,,2957.576913,,,
Los Angeles,91030,77,204.0649351,0.8311688312,4.79119403,3.948051948,2738.665591,2868.396503,0.04737011795,,
Los Angeles,91040,30,238.1666667,0.8333333333,4.914736842,4.6,,2291.711097,,103823,20911
Los Angeles,91042,22,193.6363636,0.6818181818,4.765882353,4.136363636,2388.904365,2484.329706,0.03994523288,81324,27119
Los Angeles,91101,100,181.18,0.89,4.845180723,3.47,2887.721843,2955.682279,0.02353427374,,
Los Angeles,91103,90,288.9111111,0.8555555556,4.748219178,4.8,3292.175451,3423.339316,0.039841092,,
Los Angeles,91104,114,234.377193,0.7894736842,4.833823529,4.219298246,2512.554281,2657.876168,0.05783830766,,
Los Angeles,91105,65,327.8923077,0.9076923077,4.905686275,4.184615385,3361.343813,3508.334531,0.04372974795,,
Los Angeles,91106,121,192.5785124,0.7768595041,4.843142857,4.132231405,2604.460619,2724.02197,0.04590637699,,
Los Angeles,91107,235,227.8553191,0.7744680851,4.820510204,4.54893617,2800.75704,2972.359084,0.06126987862,,
Los Angeles,91108,26,598.1923077,0.7692307692,4.8525,6.076923077,,5597.02152,,,
Los Angeles,91201,60,195.55,0.8333333333,4.767647059,4.266666667,2526.661197,2628.958458,0.04048713035,,
Los Angeles,91202,33,235.3939394,0.9393939394,4.72,4.575757576,2641.419375,2724.073364,0.03129150541,,
Los Angeles,91203,91,196.8461538,0.9340659341,4.747702703,4.912087912,2957.846276,3004.704969,0.01584216659,,
Los Angeles,91204,140,169.9142857,0.9571428571,4.718952381,4.107142857,2716.19373,2758.816979,0.01569227119,,
Los Angeles,91205,98,179.0510204,0.8163265306,4.826744186,4.357142857,2178.894525,2234.596945,0.02556453262,,
Los Angeles,91206,69,165.3188406,0.9275362319,4.822037037,3.869565217,2509.031131,2585.320871,0.0304060556,,
Los Angeles,91207,32,331.0625,0.78125,4.8725,5.375,,2851.836327,,,
Los Angeles,91208,26,168.7307692,0.7692307692,4.88,2.923076923,2961.516211,3159.326779,0.06679368066,,
Los Angeles,91214,41,264.1219512,0.8780487805,4.928387097,4.682926829,2912.214593,3055.412502,0.04917148264,,
Los Angeles,91301,78,366.6282051,0.7051282051,4.87968254,4.756410256,3679.308513,3842.740857,0.0444193098,,
Los Angeles,91302,122,474.2459016,0.8278688525,4.861494253,5.196721311,4949.936261,5170.144407,0.04448706697,,
Los Angeles,91303,46,156.9565217,0.8043478261,4.829285714,3.891304348,2545.775348,2552.980697,0.002830316149,77437,30611
Los Angeles,91304,93,200.827957,0.7096774194,4.89625,4.677419355,2575.105797,2617.311823,0.01639001652,79673,54369
Los Angeles,91306,93,161.483871,0.6666666667,4.884166667,4.129032258,3075.990943,3191.354587,0.03750454606,82380,49460
Los Angeles,91307,114,225.0964912,0.8157894737,4.829864865,5.324561404,3944.334648,4295.418685,0.0890096982,130877,25368
